Country or Subregion,Year,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
Bolivia,2014,217,329,426,527,733,898,916,1154,1170,1138,1559,1471,1398,1398,1482,1290,985,758,835,806,657,397,325,259,180,185,92,75,125,128,113,78,92,57,104,62,64,64,55,30,45,44,192,59,40,54,63,41,68,62,59,65
Bolivia,2015,91,113,120,154,241,269,242,422,445,550,762,1199,1185,1760,1773,1992,2017,1881,1590,1487,994,689,817,519,326,232,117,100,94,100,73,78,64,62,81,71,101,99,149,156,183,220,209,209,280,292,449,281,400,464,407,490
Bolivia,2016,771,1033,1684,2086,1970,2117,2378,2400,2185,1992,1769,1244,1279,1330,1234,1171,761,452,300,274,154,95,84,78,86,60,46,60,32,53,39,43,34,41,48,37,37,26,62,74,63,93,88,104,235,227,352,335,310,363,352,245
Bolivia,2017,273,248,294,255,307,341,417,450,407,471,671,648,504,603,515,492,371,323,302,270,113,60,72,70,59,44,43,43,35,52,44,55,43,53,49,53,54,36,24,36,31,43,39,33,76,64,70,71,78,89,74,55
Bolivia,2018,72,70,84,131,162,181,164,243,248,296,320,288,192,256,230,308,278,273,286,242,155,92,32,40,35,26,29,31,35,28,28,28,41,29,22,27,32,25,22,45,53,62,72,87,140,149,179,211,427,560,284,247
Bolivia,2019,270,317,313,354,373,484,627,508,430,328,445,397,426,429,473,449,386,377,477,377,261,323,270,296,192,202,221,208,237,186,157,118,122,153,164,145,171,160,162,197,225,249,314,355,532,543,589,763,902,960,1098,1272
Bolivia,2020,1849,3754,5500,6902,8463,10825,10936,10674,8316,8630,8146,5246,4295,3209,2797,2106,1785,1297,1045,863,655,436,288,173,134,85,63,56,51,72,43,31,36,38,48,48,38,36,41,54,55,71,113,95,106,136,149,209,215,275,334,264
Bolivia,2021,223,340,297,307,232,271,229,273,305,350,350,344,254,244,269,280,267,193,166,151,103,69,116,89,88,61,69,103,67,98,69,69,72,41,45,57,70,27,81,76,98,85,120,130,141,124,195,234,171,212,301,321
Bolivia,2022,311,248,205,157,166,264,349,348,326,440,528,495,499,432,472,508,527,360,433,361,310,218,236,146,191,176,208,227,184,146,154,79,90,115,134,138,126,121,135,140,154,182,219,183,246,336,426,574,723,923,980,895
Bolivia,2023,1647,2682,5020,8603,9469,11495,11835,8283,9859,10105,8995,8690,7641,6399,6178,4717,4310,2478,2184,1688,1332,908,772,479,376,337,259,255,245,226,224,259,240,264,279,248,232,126,637,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,2014,2385,2509,2360,2459,2091,2062,2028,2023,1754,1803,1894,1830,1760,2104,1846,1740,1893,1852,1824,1820,1989,1714,2019,2116,1832,1740,2114,2160,2102,2115,2035,1844,1893,1917,1750,1881,2136,2180,2109,2167,2160,2266,2428,2224,2127,2144,2037,1859,2080,2155,2097,2059
Colombia,2015,2422,2015,1951,1850,2123,1988,2097,1926,2126,2021,1975,1743,1695,2127,1819,1763,1929,1879,1860,1750,1725,1675,1516,1532,1459,1593,1583,1434,1383,1375,1360,1285,1367,1422,1463,1592,1678,1743,1729,1734,1751,1936,1946,2163,2254,2285,2199,2280,2482,2515,2337,2589
Colombia,2016,2819,3036,3158,2915,3316,3203,3025,2681,2925,2638,2194,2268,2980,2462,2686,2439,2507,2565,2708,2863,2578,2598,2568,2417,2225,1989,2070,1954,1642,1586,1598,1498,1554,1419,1332,1214,1170,1152,1105,951,939,1048,970,940,941,951,954,887,837,907,819,815
Colombia,2017,820,765,830,696,654,632,521,484,490,468,406,423,461,479,436,472,435,487,476,531,513,502,511,453,411,482,505,516,460,489,445,483,442,468,440,416,387,474,431,457,404,394,370,388,423,420,421,433,412,484,485,399
Colombia,2018,491,536,540,468,482,422,471,404,409,434,410,402,340,431,454,488,517,537,608,720,804,954,900,954,964,770,926,929,940,850,893,934,857,974,950,863,941,990,988,1108,1079,1248,1297,1328,1450,1380,1647,1581,1728,1876,1567,591
Colombia,2019,1704,1690,1672,1731,1773,1739,1713,1928,1888,1895,1973,1860,1938,2094,1916,2022,2436,2636,2643,2743,3028,3055,3172,3298,3245,3104,3836,3495,3381,3172,2817,1354,2688,2471,2534,2530,2607,2412,2352,2243,1951,2390,2678,2259,2699,3173,2500,2901,2501,2734,2620,2359
